age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary
30, Self-emp-not-inc,173854, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
36, Private,290409, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Private,410034, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
25, Private,262885, 11th,7, Never-married, Other-service, Unmarried, Black, Female,0,0,32, United-States, <=50K
36, Private,235371, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private,147206, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
55, Private,326297, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
32, Private,235124, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private,188274, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private,120939, Prof-school,15, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,5, United-States, >50K
60, ?,174073, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
19, Private,417657, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
23, Private,167868, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private,320376, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
75, ?,114204, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,13, United-States, <=50K
20, Federal-gov,178517, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private,355569, Assoc-voc,11, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
35, Private,117166, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Private,200316, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, United-States, <=50K
30, Self-emp-not-inc,31510, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Local-gov,47902, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
30, Private,143526, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private,324254, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
52, Private,180062, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
19, Private,109928, 11th,7, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
58, Private,201112, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,55, United-States, >50K
48, State-gov,99086, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
45, Self-emp-not-inc,155489, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
38, State-gov,200904, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,30, United-States, >50K
19, Self-emp-not-inc,194205, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, Mexico, <=50K
24, Private,50341, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Federal-gov,110622, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K
45, Private,246431, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
28, Private,77760, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Never-worked,157131, 11th,7, Never-married, ?, Own-child, White, Female,0,0,10, United-States, <=50K
69, ?,254834, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,10605,0,10, United-States, >50K
25, Private,213412, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
32, Private,158002, Some-college,10, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,55, Ecuador, <=50K
30, Self-emp-not-inc,106742, 12th,8, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, <=50K
28, Private,336951, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
21, Private,306114, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private,187098, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Private,481987, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
49, Self-emp-not-inc,199326, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Private,42596, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
20, Private,157894, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
17, Private,218361, 10th,6, Never-married, Other-service, Own-child, White, Female,0,1602,12, United-States, <=50K
42, State-gov,39239, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, <=50K
36, Private,268620, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,33, United-States, <=50K
59, Private,144071, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
41, Private,282964, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private,150861, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private,185399, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,38, United-States, <=50K
37, State-gov,117651, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
21, Private,434102, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,201292, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,496856, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
19, Private,225294, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private,64520, 12th,8, Never-married, Transport-moving, Unmarried, White, Male,0,0,30, United-States, <=50K
44, Private,213416, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
22, ?,211013, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, Mexico, <=50K
54, Private,189607, Bachelors,13, Never-married, Other-service, Own-child, Black, Female,0,0,36, United-States, <=50K
46, Private,186820, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,5013,0,40, United-States, <=50K
47, Private,302711, 11th,7, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
19, Private,192453, Some-college,10, Never-married, Other-service, Other-relative, White, Female,0,0,25, United-States, <=50K
36, Private,215503, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
25, Private,193701, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
58, ?,353244, Bachelors,13, Widowed, ?, Unmarried, White, Female,27828,0,50, United-States, >50K
36, Self-emp-not-inc,344351, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private,183639, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc,157686, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private,162442, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20, United-States, >50K
30, Private,209103, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
41, Private,151736, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private,149700, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
23, Private,153044, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,7, United-States, <=50K
42, Private,180032, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,142828, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
17, Self-emp-inc,61838, 10th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private,219211, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
31, Private,334744, HS-grad,9, Separated, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private,184135, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,1, United-States, <=50K
48, Private,49278, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private,110908, Assoc-voc,11, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,25, United-States, <=50K
48, Self-emp-inc,213140, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, United-States, <=50K
46, Private,177114, Assoc-acdm,12, Widowed, Prof-specialty, Unmarried, White, Female,0,0,27, United-States, <=50K
27, Private,156266, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
44, Private,161819, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
29, Private,446559, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
54, Private,204397, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
23, ?,381741, Assoc-acdm,12, Never-married, ?, Own-child, White, Male,0,1721,20, United-States, <=50K
37, Private,179481, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
19, Private,275889, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Mexico, <=50K
33, Private,118941, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
31, Private,173495, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
53, Private,126386, HS-grad,9, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc,241306, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,205839, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
59, Self-emp-inc,255822, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
17, Private,262511, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
37, Self-emp-not-inc,255454, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
49, Private,139268, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private,117789, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
27, Private,207611, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,52, United-States, <=50K
64, Private,144182, HS-grad,9, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,23, United-States, <=50K
43, Self-emp-not-inc,113211, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
53, Private,95469, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,40, United-States, >50K
38, Private,195744, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,48, United-States, <=50K
21, Private,143604, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private,134113, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
61, State-gov,124971, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?, >50K
32, Local-gov,209900, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, >50K
49, Private,157272, HS-grad,9, Separated, Sales, Unmarried, White, Male,0,0,50, United-States, <=50K
25, ?,35829, Some-college,10, Divorced, ?, Unmarried, White, Female,0,0,50, United-States, <=50K
73, Local-gov,45784, Some-college,10, Never-married, Prof-specialty, Other-relative, White, Female,0,0,11, United-States, <=50K
38, Federal-gov,190895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?, >50K
35, Self-emp-not-inc,112497, HS-grad,9, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,35, Ireland, <=50K
29, Private,201017, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, Scotland, <=50K
21, Private,305446, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,219122, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private,181651, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
45, Private,26781, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc,53566, Doctorate,16, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
59, Private,381851, 9th,5, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
28, Private,149652, 10th,6, Never-married, Other-service, Own-child, Black, Female,0,0,30, United-States, <=50K
41, Private,262038, 5th-6th,3, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male,0,0,35, Mexico, <=50K
47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
44, Private,286750, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
44, Private,103218, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc,156951, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, >50K
61, Private,98350, Preschool,1, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, China, <=50K
19, Private,68552, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
33, Private,100228, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
20, Private,344492, HS-grad,9, Separated, Sales, Own-child, White, Female,0,0,26, United-States, <=50K
68, Self-emp-inc,136218, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
60, Self-emp-not-inc,92845, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
43, ?,387839, HS-grad,9, Never-married, ?, Other-relative, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc,274363, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Self-emp-not-inc,348739, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
53, Federal-gov,167410, Bachelors,13, Divorced, Tech-support, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc,403391, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
31, Local-gov,189843, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,0,47, United-States, >50K
45, Private,361842, HS-grad,9, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private,183801, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,43, United-States, >50K
